              x          T3(x)          T5(x)          T7(x)          T9(x)
         -0.772       0.475601       0.954601      -0.109096      -0.996486
          -0.77       0.483868       0.949805       -0.13092      -0.998455
         -0.768       0.492061       0.944795      -0.152599      -0.999624
         -0.766        0.50018       0.939574      -0.174125             -1
         -0.764       0.508225       0.934146      -0.195488      -0.999592
         -0.762       0.516197       0.928513      -0.216681      -0.998409
          -0.76       0.524096       0.922679      -0.237696       -0.99646
         -0.758       0.531922       0.916649      -0.258526      -0.993756
         -0.756       0.539675       0.910425      -0.279163      -0.990305
         -0.754       0.547356       0.904011      -0.299599       -0.98612
         -0.752       0.554964       0.897409      -0.319828       -0.98121
          -0.75         0.5625       0.890625      -0.339844      -0.975586
         -0.748       0.569964       0.883661      -0.359639       -0.96926
         -0.746       0.577356       0.876519      -0.379207      -0.962244
         -0.744       0.584677       0.869205      -0.398542       -0.95455
         -0.742       0.591926       0.861721      -0.417638       -0.94619
          -0.74       0.599104       0.854069      -0.436489      -0.937177
         -0.738       0.606211       0.846255       -0.45509      -0.927523
         -0.736       0.613247        0.83828      -0.473435      -0.917241
         -0.734       0.620212       0.830148       -0.49152      -0.906345
         -0.732       0.627107       0.821862      -0.509338      -0.894848
          -0.73       0.633932       0.813425      -0.526885      -0.882764
         -0.728       0.640687       0.804841      -0.544157      -0.870105
         -0.726       0.647371       0.796113      -0.561149      -0.856888
         -0.724       0.653986       0.787243      -0.577857      -0.843124
         -0.722       0.660532       0.778235      -0.594276      -0.828829
          -0.72       0.667008       0.769092      -0.610403      -0.814017
         -0.718       0.673415       0.759816      -0.626234      -0.798703
         -0.716       0.679753       0.750412      -0.641764      -0.782901
         -0.714       0.686023       0.740881      -0.656992      -0.766625
         -0.712       0.692223       0.731227      -0.671913       -0.74989
          -0.71       0.698356       0.721453      -0.686524      -0.732712
         -0.708        0.70442       0.711562      -0.700823      -0.715105
         -0.706       0.710417       0.701556      -0.714806      -0.697084
         -0.704       0.716345       0.691438       -0.72847      -0.678664
         -0.702       0.722206       0.681212      -0.741814       -0.65986
           -0.7          0.728        0.67088      -0.754835      -0.640687
         -0.698       0.733726       0.660445      -0.767531       -0.62116
         -0.696       0.739386        0.64991      -0.779899      -0.601294
         -0.694       0.744978       0.639277      -0.791937      -0.581104
         -0.692       0.750504       0.628549      -0.803645      -0.560606
          -0.69       0.755964        0.61773      -0.815019      -0.539814
         -0.688       0.761357       0.606821      -0.826059      -0.518743
         -0.686       0.766685       0.595826      -0.836763      -0.497409
         -0.684       0.771946       0.584746       -0.84713      -0.475826
         -0.682       0.777142       0.573586      -0.857159      -0.454008
          -0.68       0.782272       0.562346      -0.866849      -0.431972
         -0.678       0.787337       0.551031      -0.876198      -0.409732
         -0.676       0.792337       0.539642      -0.885207      -0.387301
         -0.674       0.797272       0.528182      -0.893874      -0.364696
         -0.672       0.802142       0.516654      -0.902199       -0.34193
          -0.67       0.806948        0.50506      -0.910182      -0.319019
         -0.668       0.811689       0.493402      -0.917822      -0.295975
         -0.666       0.816367       0.481684      -0.925119      -0.272814
         -0.664        0.82098       0.469907      -0.932074       -0.24955
         -0.662        0.82553       0.458074      -0.938685      -0.226197
          -0.66       0.830016       0.446188      -0.944954      -0.202768
         -0.658       0.834439        0.43425       -0.95088      -0.179277
         -0.656       0.838798       0.422264      -0.956465      -0.155739
         -0.654       0.843095       0.410231      -0.961707      -0.132167
         -0.652       0.847329       0.398154      -0.966609      -0.108573
          -0.65         0.8515       0.386035      -0.971171      -0.084972
         -0.648       0.855609       0.373877      -0.975393     -0.0613763
         -0.646       0.859655       0.361681      -0.979276      -0.037799
         -0.644        0.86364        0.34945      -0.982822      -0.014253
         -0.642       0.867563       0.337187      -0.986031     0.00924924
          -0.64       0.871424       0.324893      -0.988905      0.0326951
         -0.638       0.875224       0.312571      -0.991445      0.0560722
         -0.636       0.878962       0.300222      -0.993652      0.0793686
         -0.634        0.88264        0.28785      -0.995527       0.102572
         -0.632       0.886256       0.275456      -0.997073       0.125671
          -0.63       0.889812       0.263042       -0.99829       0.148653
         -0.628       0.893307        0.25061      -0.999181       0.171508
         -0.626       0.896742       0.238162      -0.999747       0.194224
         -0.624       0.900118       0.225702       -0.99999        0.21679
         -0.622       0.903433       0.213229      -0.999911       0.239195
          -0.62       0.906688       0.200747      -0.999514       0.261428
